Film,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Script Type,Opening weekend ($million),Opening Weekend,Domestic gross ($million),Domestic Gross,Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Year,Oscar Winners,Oscar Detail,Link
The House,17,30,24,36,40,-4,38,-15,comedy,comedy,original screenplay,8.7,"8,724,795",25.6,"25,584,504",8.6,"8,600,000","34,184,504",34,25.16%,40,85%,21.81%,2017,,,https://www.amazon.co.uk/House-Will-Ferrell/dp/B072X68NZ5/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978860&sr=1-1&keywords=The+House
King Arthur: Legend of the Sword,29,41,35,69,72,-3,70.5,-36,adventure,adventure,original screenplay,15.4,"15,371,270",39.2,"39,175,066",109.5,"109,500,000","148,675,066",149,73.65%,175,85%,8.78%,2017,,,https://www.amazon.co.uk/King-Arthur-Legend-Charlie-Hunnam/dp/B0716QNRNJ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546977541&sr=1-1&keywords=King+Arthur3A+Legend+of+the+Sword
Green Lantern,27,39,33.0,48,56,-8,52,-19,action,"action, adventure, sci-fi",adaptation,53.2,"53,170,000",116.6,"116,600,000",103.3,"103,250,000","169,770,117",170,60.82%,200,85%,26.59%,2011,,,http://www.amazon.com/gp/product/B005LJITS0/?tag=titb-20
Holmes and Watson,8,24,16,28,15,13,21.5,-6,Comedy,Comedy,adaptation,7.4,"7,411,522",28.4,"28,410,922",7.1,"7,100,000","35,510,922",355,19.99%,42,85%,17.65%,2018,,,https://www.amazon.com/Holmes-Watson-Will-Ferrell/dp/B07LGRN4RB/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974586&sr=1-2&keywords=Holmes+and+Watson
Meet Dave,19,43,31,42,55,-13,48.5,-17.5,adventure,"adventure, comedy, family",original screenplay,5.3,"5,250,000",11.8,"11,800,000",38.9,"38,850,000","50,650,000",51,76.70%,60,84%,8.75%,2008,,,http://www.amazon.com/gp/product/B001NEN5IG/?tag=titb-20
Danny Collins,77,58,67.5,74,70,4,72,-4.5,comedy,"comedy, drama",based on a true story,1.5,"1,479,158",5.6,"5,637,066",2.8,"2,800,000","8,437,066",8,33.19%,10,84%,14.79%,2015,,,http://www.amazon.com/gp/product/B00ZGTS68S/?tag=titb-20
My Soul to Take,9,25,17,29,47,-18,38,-21,horror,"horror, mystery, thriller",original screenplay,6.8,"6,840,000",14.7,"14,740,000",6.2,"6,230,000","20,970,000",21,29.71%,25,84%,27.36%,2010,,,http://www.amazon.com/gp/product/B004H15UY4/?tag=titb-20
Cowboys and Aliens,44,50,47.0,50,60,-10,55,-8,action,"action, sci-fi, thriller",adaptation,36.4,"36,430,000",100.2,"100,240,000",74.6,"74,580,000","136,670,100",137,54.57%,163,84%,22.35%,2011,,,http://www.amazon.com/gp/product/B006C45MRE/?tag=titb-20
White Boy Rick,60,59,60,53,65,-12,59,1,Crime,"Crime, Drama",based on a true story,8.9,"8,860,431",24.0,"24,011,188",0.1,"77,801","24,088,989",241,0.32%,29,83%,30.55%,2018,,,https://www.amazon.com/White-Boy-Rick-Matthew-McConaughey/dp/B07HMCWFBQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970569&sr=1-1&keywords=White+Boy+Rick
Victor Frankenstein,27,36,31.5,42,53,-11,47.5,-16,drama,drama,adaptation,2.5,"2,469,341",5.8,"5,773,519",27.4,"27,363,123","33,136,642",33,82.58%,40,83%,6.17%,2015,Oscar Winner,Actor in a Supporting Role,http://www.amazon.com/gp/product/B018ITLEHC/?tag=titb-20
That's My Boy,20,31,25.5,53,54,-1,53.5,-28,comedy,comedy,original screenplay,13.5,"13,453,714",36.9,"36,931,089",20.8,"20,788,004","57,719,093",58,36.02%,70,82%,19.22%,2012,,,http://www.amazon.com/gp/product/B009M1ACO2/?tag=titb-20
Annihilation,87,79,83,66,72,-6,69,14,thriller,"Thriller, Suspense",adaptation,11.1,"11,071,584",32.7,"32,732,301",0.0,0,"32,732,301",327,0,40,82%,27.68%,2018,,,https://www.amazon.com/Annihilation-Natalie-Portman/dp/B079YYHM9Z/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964458&sr=1-2&keywords=Annihilation
Happily N'Ever After,4,28,16,34,35,-1,34.5,-18.5,animation,animation,adaptation,6.6,"6,608,244",15.6,"15,589,393",22.5,"22,495,398","38,084,791",38,59.07%,47,81%,14.06%,2007,,,http://www.amazon.co.uk/Happily-NEver-After-Michelle-Gellar/dp/B00ET0ATP8/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386049&sr=1-1&keywords=happily+n27ever+after
Armored ,40,50,45,34,54,-20,44,1,action,"action, crime, thriller",original screenplay,6.5,"6,500,000",16.0,"15,990,000",7.0,"6,950,000","16,000,000",16,43.44%,20,80%,32.50%,2009,,,http://www.amazon.com/gp/product/B003883XU0/?tag=titb-20
Scott Pilgrim vs. the World,81,69,75,83,80,3,81.5,-6.5,action,"action, comedy, fantasy",adaptation,10.6,"10,600,000",31.5,"31,520,000",16.1,"16,140,000","47,660,000",48,33.86%,60,79%,17.67%,2010,,,http://www.amazon.com/gp/product/B00448SE4S/?tag=titb-20
