Film,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Script Type,Opening weekend ($million),Opening Weekend,Domestic gross ($million),Domestic Gross,Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Year,Oscar Winners,Oscar Detail,Link
The Boy Next Door,10,30,20,34,54,-20,44,-24,thriller,thriller,original screenplay,14.9,"14,910,105",35.4,"35,423,380",14.7,"14,739,723","50,163,103",50,29.38%,4,1254%,372.75%,2015,,,http://www.amazon.com/gp/product/B00USRETPM/?tag=titb-20
Despicable Me 2,74,62,68.0,85,74,11,79.5,-11.5,Adventure,"Adventure, Sci-Fi, Comedy, Crime, Animation, Family",sequel,83.5,"83,517,315",368.1,"368,061,265",602.7,"602,700,620","970,761,885",971,62.09%,78,1245%,107.07%,2013,,,http://www.amazon.com/gp/product/B00FVZJUS2/?tag=titb-20
Glass,37,42,40,73,68,5,71,-31,Drama,"Drama, Sci-Fi, Thriller",sequel,40.3,"40,328,920",111.0,"111,035,005",135.9,"135,873,591","246,908,596",247,55.03%,20,1235%,201.64%,2019,,,https://www.amazon.co.uk/Glass-James-McAvoy/dp/B07MG7Z6ZS/ref=sr_1_1?crid=34RG5I1U602P9&keywords=glass+2019&qid=1557072469&s=instant-video&sprefix=Glass2Cinstant-video2C147&sr=1-1
The Purge: Anarchy,57,50,53.5,57,61,-4,59,-5.5,action,"action, thriller, horror",sequel,29.8,"29,816,675",72.0,"71,962,800",38.6,"38,640,199","110,602,999",111,34.94%,9,1229%,331.30%,2014,,,http://www.amazon.com/gp/product/B00O8NST8U/?tag=titb-20
Avatar ,83,83,83.0,92,75,17,83.5,-0.5,action,"action, adventure, fantasy",original screenplay,77.0,"77,000,000",760.5,"760,500,000",2125.1,"2,125,062,453","2,910,284,102","2,910",73.02%,237,1228%,32.49%,2009,,,http://www.amazon.com/gp/product/B001J6W29Q/?tag=titb-20
Dragon Ball Super: Broly,83,59,71,93,77,16,85,-14,Action,"Action, Adventure, Sci-Fi, Fantasy, Family",sequel,9.8,"9,816,197",30.7,"30,712,119",72.9,"72,915,772","103,627,891",104,70.36%,9,1219%,115.48%,2019,,,https://www.amazon.co.uk/Dragon-Ball-Super-Movie-Broly/dp/B07NL9LZPB/ref=sr_1_1?crid=252G9N9WO449K&keywords=dragon+ball+super+broly&qid=1557072717&s=instant-video&sprefix=Dragon+Ball+Super3A+Broly2Cinstant-video2C165&sr=1-1-catcorr
I Can Only Imagine,65,30,48,91,80,11,85.5,-38,Drama,Drama,based on a true story,17.1,"17,108,914",83.5,"83,482,352",0.0,0,"83,482,352",835,0,7,1193%,244.41%,2018,,,https://www.amazon.com/Can-Only-Imagine-Michael-Finley/dp/B07D6W2PWT/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975039&sr=1-2&keywords=I+Can+Only+Imagine
Call Me By Your Name,95,93,94,85,78,7,81.5,13,Drama,Drama,"adaptation, sequel",1.4,"1,437,889",18.1,"18,095,701",23.6,"23,603,117","41,698,818",417,56.60%,4,1191%,41.08%,2018,,,https://www.amazon.com/Call-Your-Name-Armie-Hammer/dp/B0791VJLVB/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970323&sr=1-2&keywords=Call+Me+By+Your+Name
The Purge: Election Year,54,55,54.5,50,61,-11,55.5,-1.0,Horror,Horror,sequel,31.5,"31,515,110",79.0,"79,042,440",39.4,"39,374,505","118,416,945",118,33.25%,10,1184%,315.15%,2016,,,https://www.amazon.com/Purge-Election-Year-Frank-Grillo/dp/B01ICD5114/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219262&sr=1-1&keywords=The+Purge3A+Election+Year
The Gift,94,77,85.5,78,84,-6,81,4.5,thriller,thriller,original screenplay,11.9,"11,854,273",43.8,"43,787,265",15.2,"15,191,388","58,978,653",59,25.76%,5,1180%,237.09%,2015,,,http://www.amazon.com/gp/product/B0178D8ZRG/?tag=titb-20
The Secret Life of Pets,74,61,67.5,64,60,4,62,5.5,Adventure,Adventure,original screenplay,104.4,"104,352,905",367.2,"367,226,855",505.5,"505,525,621","872,752,476",873,57.92%,75,1164%,139.14%,2016,,,https://www.amazon.com/Secret-Life-Pets-Louis-C-K/dp/B01HOSMNYQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219554&sr=1-1&keywords=The+Secret+Life+of+Pets
Lucy,66,61,63.5,47,60,-13,53.5,10,action,"action, sci-fi, thriller",original screenplay ,43.9,"43,899,340",126.7,"126,663,600",332.2,"332,200,000","458,863,600",459,72.40%,40,1147%,109.75%,2014,,,http://www.amazon.com/gp/product/B00QQW1VJA/?tag=titb-20
Grandma,92,78,85,71,71,0,71,14,comedy,comedy,original screenplay,1.5,"1,501,101",6.7,"6,741,296",0.1,"100,000","6,841,296",7,1.46%,1,1140%,250.18%,2015,,,http://www.amazon.com/gp/product/B019HQ7ZJQ/?tag=titb-20
Silver Linings Playbook,92,81,86.5,86,83,3,84.5,2,comedy,"comedy, romance",adaptation,0.4,"443,003",132.1,"132,092,958",104.3,"104,319,495","236,412,453",236,44.13%,21,1126%,2.11%,2012,Oscar Winner,Best Actress,http://www.amazon.com/gp/product/B00BZAJMWG/?tag=titb-20
Boyhood,98,100,99.0,82,77,5,79.5,19.5,drama,drama,original screenplay ,0.4,"387,618",25.4,"25,352,281",19.1,"19,143,000","44,495,281",44,43.02%,4,1112%,9.69%,2014,Oscar Winner,Best Supporting Actress (Patricia Arquette),http://www.amazon.com/gp/product/B00MBWN6UG/?tag=titb-20
Jurassic World,71,59,65.0,80,69,11,74.5,-9.5,sci-fi,"sci-fi, horror",sequel,208.8,"208,806,270",652.1,"652,050,585",1014.0,"1,014,000,000","1,666,050,585","1,666",60.86%,150,1111%,139.20%,2015,,,http://www.amazon.com/gp/product/B016VLEH0A/?tag=titb-20
Waitress,89,75,82,74,75,-1,74.5,7.5,romance,romantic comedy,original screenplay,2.0,"2,012,857",19.1,"19,074,800",3.1,"3,104,683","22,179,483",22,14.00%,2,1109%,100.64%,2007,,,http://www.amazon.co.uk/Waitress-Keri-Russell/dp/B00FYHTCRQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386813&sr=1-1&keywords=Waitress
The Big Sick,98,86,92,89,75,14,82,10,romance,"romance, comedy",based on a true story,0.4,"421,577",42.9,"42,873,127",12.4,"12,390,522","55,263,649",55,22.42%,5,1105%,8.43%,2017,,,https://www.amazon.co.uk/Big-Sick-Kumail-Nanjiani/dp/B074HDM55B/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981471&sr=1-1&keywords=The+Big+Sick
Dallas Buyers Club,93,84,88.5,91,83,8,87,1.5,Biography,"Biography, Drama, History",based on a true story,0.3,"260,865",27.3,"27,298,285",27.9,"27,900,000","55,198,285",55,50.55%,5,1104%,5.22%,2013,Oscar Winner,"Best Supporting Actor (Jared Leto), Best Makeup and Hairstyling (Adruitha Lee and Robin Mathews), Best Actor (Matthew McConaughey)",http://www.amazon.com/gp/product/B00I8H6X58/?tag=titb-20
Ted,68,62,65.0,74,70,4,72,-7,comedy,"comedy, fantasy",original screenplay,54.4,"54,415,205",218.8,"218,815,487",330.6,"330,552,828","549,368,315",549,60.17%,50,1099%,108.83%,2012,,,http://www.amazon.com/gp/product/B00AMBLXP8/?tag=titb-20
Insidious: Chapter 3,60,52,56.0,54,68,-14,61,-5,horror,horror,sequel,22.7,"22,692,741",52.2,"52,218,558",57.3,"57,300,000","109,518,558",110,52.32%,10,1095%,226.93%,2015,,,http://www.amazon.com/gp/product/B016887PIW/?tag=titb-20
Downton Abbey,84,64,74,94,61,33,78,-4,Drama,Drama,adaptation,31.0,"31,033,665",96.7,"96,722,715",89.2,"89,200,000","185,922,715",186,47.98%,17,1094%,182.55%,2019,,,https://www.amazon.co.uk/Downton-Abbey-Hugh-Bonneville/dp/B07XPDBQRG/ref=sr_1_1?crid=W28R0R7J65YJ&keywords=downton+abbey+film+2019&qid=1577973385&s=instant-video&sprefix=Downton+Abbey2Cinstant-video2C166&sr=1-1
A Star is Born,90,88,89,81,86,-5,83.5,6,Drama,Drama,remake / reboot,42.9,"42,908,051",202.1,"202,110,867",188.0,"188,000,000","390,110,867",390,48.19%,36,1084%,119.19%,2018,,,-
Us,94,81,88,68,67,1,68,20,Horror,"Horror, Thriller",original screenplay,71.1,"71,117,625",152.4,"152,381,515",64.2,"64,200,000","216,581,515",217,29.64%,20,1083%,355.59%,2019,,,https://www.amazon.co.uk/Us-Lupita-Nyongo/dp/B07PSK5FSZ/ref=sr_1_1?keywords=Us&qid=1557072508&s=instant-video&sr=1-1
Parasite,99,96,98,93,89,4,91,7,Drama,Drama,original screenplay,0.4,"393,216",18.3,"18,274,213",99.0,"99,030,799","117,305,012",117,84.42%,11,1066%,3.57%,2019,,,-
The Blind Side ,65,53,59.0,90,69,21,79.5,-20.5,biography,"biography, sport",adaptation,34.1,"34,100,000",256.0,"255,960,000",53.2,"53,240,000","309,200,000",309,17.22%,29,1066%,117.59%,2009,Oscar Winner,Best Actress,http://www.amazon.com/gp/product/B0036BK6MW/?tag=titb-20
Twilight,49,56,52.5,82,49,33,65.5,-13,fantasy,"fantasy, romance",adaptation,69.6,"69,640,000",192.8,"192,770,000",199.9,"199,850,000","392,620,000",393,50.90%,37,1061%,188.22%,2008,,,http://www.amazon.com/gp/product/B001T5D6LK/?tag=titb-20
Chronicle (2012),85,69,77.0,71,73,-2,72,5,sci-fi,"sci-fi, thriller",original screenplay,22.0,"22,004,098",64.6,"64,575,175",62.1,"62,060,922","126,636,097",127,49.01%,12,1055%,183.37%,2012,,,http://www.amazon.com/gp/product/B0083GPDBO/?tag=titb-20
Saw V,13,20,16.5,63,56,7,59.5,-43,horror,"crime, horror, thriller",sequel,30.1,"30,100,000",56.8,"56,750,000",57.1,"57,120,000","113,870,000",114,50.16%,11,1054%,278.70%,2008,,,http://www.amazon.com/gp/product/B004OTQRAA/?tag=titb-20
The Campaign,65,50,57.5,51,60,-9,55.5,2,comedy,comedy,original screenplay,26.6,"26,588,460",86.9,"86,907,746",18.0,"18,000,000","104,907,746",105,17.16%,10,1049%,265.88%,2012,,,http://www.amazon.com/gp/product/B009M8W8CY/?tag=titb-20
Me Before You,58,51,54.5,73,66,7,69.5,-15.0,Drama,Drama,adaptation,18.7,"18,723,269",56.2,"56,245,075",151.6,"151,600,000","207,845,075",208,72.94%,20,1039%,93.62%,2016,,,https://www.amazon.com/Me-Before-You-Emilia-Clarke/dp/B01GIIVF6K/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219091&sr=1-1&keywords=Me+Before+You
Star Wars: Force Awakens,94,81,87.5,91,70,21,80.5,7.0,sci-fi,"sci-fi, fantasy",sequel,248.0,"247,966,675",936.7,"936,662,225",1131.6,"1,131,561,399","2,068,223,624","2,068",54.71%,200,1034%,123.98%,2015,,,http://www.amazon.com/gp/product/B019EG160I/?tag=titb-20
The Twilight Saga: Eclipse	,50,58,54.0,74,47,27,60.5,-6.5,adventure,"adventure, fantasy, romance",sequel,64.8,"64,800,000",300.5,"300,530,000",398.0,"397,960,000","698,490,000",698,56.97%,68,1027%,95.29%,2010,,,http://www.amazon.com/gp/product/B0045XKJBI/?tag=titb-20
The First Purge,55,54,55,33,47,-14,40,15,Horror,Horror,prequel,17.4,"17,374,280",68.9,"68,905,655",64.1,"64,109,410","133,015,065","1,330",48.20%,13,1023%,133.65%,2018,,,https://www.amazon.com/First-Purge-Ylan-Noel/dp/B07F46JNQX/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974204&sr=1-1&keywords=The+First+Purge
Don Jon,80,66,73.0,59,70,-11,64.5,8.5,Drama,"Drama, Comedy, Romance",original screenplay,8.7,"8,677,009",24.5,"24,477,704",6.0,"5,973,052","30,450,756",30,19.62%,3,1015%,289.23%,2013,,,http://www.amazon.com/gp/product/B00GJ0HSUK/?tag=titb-20
Jackass Presents: Bad Grandpa,60,54,57.0,61,66,-5,63.5,-6.5,Comedy,Comedy,sequel,32.1,"32,055,177",102.0,"102,003,019",49.8,"49,828,518","151,831,537",152,32.82%,15,1012%,213.70%,2013,,,http://www.amazon.com/gp/product/B00H9UY4J2/?tag=titb-20
Jigsaw,34,39,37,92,60,32,76,-40,horror,horror,sequel,16.6,"16,640,452",37.9,"37,899,565",63.1,"63,120,449","101,020,014",101,62.48%,10,1010%,166.40%,2017,,,https://www.amazon.co.uk/Jigsaw-Michael-Spierig/dp/B076TY3PTX/ref=sr_1_cc_2?s=aps&ie=UTF8&qid=1546977478&sr=1-2-catcorr&keywords=jigsaw+2017
The Maze Runner,63,56,59.5,68,67,1,67.5,-8,action,"action, sci-fi, mystery, thriller",adaptation,32.5,"32,512,804",102.4,"102,427,862",238.3,"238,322,778","340,750,640",341,69.94%,34,1002%,95.63%,2014,,,http://www.amazon.com/gp/product/B00NQFLZW8/?tag=titb-20
Ice Age: Dawn of the Dinosaurs ,45,50,47.5,72,70,2,71,-23.5,animation,"animation, action, adventure",sequel,41.7,"41,700,000",196.6,"196,570,000",690.1,"690,110,000","886,680,000",887,77.83%,90,985%,46.33%,2009,,,http://www.amazon.com/gp/product/B002OR0RP0/?tag=titb-20
Pitch Perfect 2,66,63,64.5,67,57,10,62,2.5,comedy,comedy,sequel,69.2,"69,216,890",183.8,"183,785,415",101.4,"101,380,369","285,165,784",285,35.55%,29,983%,238.68%,2015,,,http://www.amazon.com/gp/product/B015O6OZUA/?tag=titb-20
Midnight Sun,22,38,30,52,42,10,47,-17,Drama,Drama,remake / reboot,4.0,"4,003,993",9.6,"9,561,064",17.8,"17,804,403","27,365,467",274,65.06%,3,977%,143.00%,2018,,,https://www.amazon.com/Midnight-Sun-Bella-Thorne/dp/B07C8ZWPCB/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975535&sr=1-2&keywords=Midnight+Sun
Mama,65,57,61.0,56,69,-13,62.5,-1.5,horror,"Mystery, Horror",adaptation,28.4,"28,402,310",71.6,"71,628,180",74.8,"74,800,000","146,428,180",146,51.08%,15,976%,189.35%,2013,,,http://www.amazon.com/gp/product/B00COHAUD4/?tag=titb-20
Unfriended: Dark Web,57,53,55,44,37,7,40.5,15,Horror,Horror,sequel,3.7,"3,653,035",8.8,"8,783,985",0.8,"806,870","9,590,855",96,8.41%,1,959%,365.30%,2018,,,https://www.amazon.com/Unfriended-Dark-Web-Colin-Woodell/dp/B07HHH3HSL/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970629&sr=1-1&keywords=Unfriended3A+Dark+Web
Buried,86,65,75.5,63,72,-9,67.5,8,thriller,"mystery, thriller",original screenplay,0.1,"103,000",1.0,"1,040,000",18.1,"18,110,000","19,150,000",19,94.57%,2,958%,5.15%,2010,,,http://www.amazon.com/gp/product/B004IM14RY/?tag=titb-20
Ready or Not,89,64,77,78,65,13,72,5,Comedy,Comedy,original screenplay,8.0,"8,015,590",28.7,"28,714,231",28.7,"28,723,219","57,437,450",57,50.01%,6,957%,133.59%,2019,,,https://www.amazon.co.uk/Ready-Not-Matt-Bettinelli-Olpin/dp/B07Y8DH11C/ref=sr_1_1?crid=BS8FFAVGJ7Z&keywords=ready+or+not+movie&qid=1577973905&s=instant-video&sprefix=Ready+or+Not+2Cinstant-video2C147&sr=1-1
Unsane,79,63,71,57,64,-7,60.5,11,thriller,"Thriller, Suspense",original screenplay,3.8,"3,762,145",7.7,"7,690,044",6.5,"6,490,758","14,180,802",142,45.77%,2,945%,250.81%,2018,,,https://www.amazon.com/Unsane-Claire-Foy/dp/B07BNYBCCR/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970613&sr=1-2&keywords=Unsane
12 Years a Slave,96,97,96.5,90,80,10,85,11.5,Biography,"Biography, Drama, History",adaptation,0.9,"923,715",56.7,"56,671,993",131.1,"131,061,209","187,733,202",188,69.81%,20,939%,4.62%,2013,Oscar Winner,"Best Picture, Best Adapted Screenplay",http://www.amazon.com/gp/product/B00IRMTTPU/?tag=titb-20
Easy A,85,72,78.5,75,73,2,74,4.5,comedy,"comedy, romance",adaptation,17.7,"17,700,000",58.4,"58,400,000",16.6,"16,550,000","74,950,000",75,22.08%,8,937%,221.25%,2010,,,http://www.amazon.com/gp/product/B008Y6Y1RA/?tag=titb-20
Mamma Mia!,53,51,52.0,76,72,4,74,-22.0,comedy,"comedy, musical, romance",adaptation,27.8,"27,750,000",144.1,"144,130,000",465.7,"465,710,000","609,840,000",610,76.37%,66,924%,42.05%,2008,,,http://www.amazon.com/gp/product/B001N4RORE/?tag=titb-20
Ice Age: Continental Drift,37,49,43.0,63,60,3,61.5,-18.5,animation,"animation, adventure, comedy",sequel,46.6,"46,629,259",161.3,"161,321,843",715.9,"715,922,939","877,244,782",877,81.61%,95,923%,49.08%,2012,,,http://www.amazon.com/gp/product/B00APUQT7I/?tag=titb-20
American Sniper,73,72,72.5,86,66,20,76,-3.5,action,"action, biography, drama, war",based on a true story ,89.3,"89,269,066",348.3,"348,295,276",193.4,"193,400,000","541,695,276",542,35.70%,59,918%,151.30%,2014,Oscar Winner,,http://www.amazon.com/gp/product/B00RFHVCFI/?tag=titb-20
The Strangers,44,47,45.5,48,64,-16,56,-10.5,horror,"horror, mystery, thriller",original screenplay,21.0,"20,990,000",52.6,"52,600,000",29.8,"29,790,000","82,390,000",82,36.16%,9,915%,233.22%,2008,,,http://www.amazon.com/gp/product/B001LM144M/?tag=titb-20
Meet the Blacks,13,26,19.5,26,11,15,18.5,1.0,Comedy,Comedy,original screenplay,4.1,"4,055,940",9.1,"9,097,072",0.0,0,"9,097,072",9,0.00%,1,910%,405.59%,2016,,,https://www.amazon.com/Meet-Blacks-Mike-Epps/dp/B01J6UKR98/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218139&sr=1-1&keywords=Meet+the+Blacks
Taken ,58,50,54.0,83,77,6,80,-26,action,"action, crime, thriller",original screenplay,24.7,"24,700,000",145.0,"145,000,000",81.8,"81,800,000","226,800,000",227,36.07%,25,907%,98.80%,2009,,,http://www.amazon.com/gp/product/B004F1F32A/?tag=titb-20
Hunt for the Wilderpeople,98,81,89.5,91,77,14,84,5.5,Comedy,Comedy,adaptation,0.1,"78,439",5.2,"5,205,471",17.5,"17,460,077","22,665,548",23,77.03%,3,907%,3.14%,2016,,,https://www.amazon.com/Hunt-Wilderpeople-Sam-Neill/dp/B01HE1H3WK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481217934&sr=1-1&keywords=Hunt+for+the+Wilderpeople
Blair Witch,36,47,41.5,34,50,-16,42,-0.5,Horror,Horror,sequel,9.6,"9,576,057",20.8,"20,777,061",24.4,"24,352,790","45,129,851",45,53.96%,5,903%,191.52%,2016,,,https://www.amazon.com/Blair-Witch-James-Allen-McCune/dp/B01LR17RHE/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218609&sr=1-1&keywords=Blair+Witch
The Karate Kid,66,61,63.5,75,68,7,71.5,-8,action,"action, family, sport",remake / reboot,55.7,"55,700,000",176.6,"176,590,000",182.5,"182,530,000","359,120,000",359,50.83%,40,898%,139.25%,2010,,,http://www.amazon.com/gp/product/B0046U4KG0/?tag=titb-20
Bad Moms,59,60,59.5,67,50,17,58.5,1.0,Comedy,Comedy,original screenplay,23.8,"23,817,340",113.3,"113,257,297",66.1,"66,100,000","179,357,297",179,36.85%,20,897%,119.09%,2016,,,https://www.amazon.com/Bad-Moms-Mila-Kunis/dp/B01J2KCK6A/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219400&sr=1-1&keywords=Bad+Moms
Five Feet Apart,55,53,54,80,74,6,77,-23,Drama,"Drama, Romance",adaptation,13.2,"13,190,286",41.5,"41,471,489",21.0,"21,000,000","62,471,489",62,33.62%,7,892%,188.43%,2019,,,https://www.amazon.co.uk/Five-Feet-Apart-Cole-Sprouse/dp/B07SQBRBMG/ref=sr_1_1?crid=1PLGCVBTO8E5M&keywords=five+feet+apart&qid=1577973436&s=instant-video&sprefix=Five+Feet+Apart2Cinstant-video2C150&sr=1-1
A Dog's Purpose,33,43,38,73,59,14,66,-28,comedy,"comedy, drama",adaptation,18.2,"18,222,810",64.3,"64,321,890",131.9,"131,878,234","196,200,124",196,67.22%,22,892%,82.83%,2017,,,https://www.amazon.co.uk/Dogs-Purpose-Josh-Gad/dp/B071RN7MPQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546977726&sr=1-1&keywords=A+Dog27s+Purpose
The Hunger Games,84,67,75.5,81,70,11,75.5,0,adventure,"adventure, sci-fi, thriller",adaptation,152.5,"152,535,747",408.0,"408,010,692",283.2,"283,237,076","691,247,768",691,40.97%,78,886%,195.56%,2012,,,http://www.amazon.com/gp/product/B008Z9YLV2/?tag=titb-20
Ouija: Origin of Evil,82,65,73.5,61,74,-13,67.5,6.0,Horror,Horror,sequel,14.1,"14,065,500",34.3,"34,336,765",44.6,"44,591,598","78,928,363",79,56.50%,9,877%,156.28%,2016,,,https://www.amazon.com/Ouija-Origin-Evil-Elizabeth-Reaser/dp/B01MAUT9TJ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218889&sr=1-1&keywords=Ouija3A+Origin+of+Evil
The Kids Are All Right,94,86,90,72,73,-1,72.5,17.5,comedy,comedy,original screenplay,3.5,"3,500,000",20.8,"20,810,000",13.9,"13,890,000","34,700,000",35,40.03%,4,868%,87.50%,2010,,,http://www.amazon.com/gp/product/B0046UGSNS/?tag=titb-20
Step Up 2: The Streets,26,50,38.0,81,75,6,78,-40,romance,"music, romance",sequel,18.9,"18,910,000",58.0,"58,020,000",92.8,"92,800,000","150,820,000",151,61.53%,18,862%,108.06%,2008,,,http://www.amazon.com/gp/product/B003SHYVO8/?tag=titb-20
The Second Best Exotic Marigold Hotel,63,51,57.0,62,61,1,61.5,-4.5,comedy,"comedy, drama",sequel,8.5,"8,540,370",33.1,"33,078,266",52.9,"52,900,000","85,978,266",86,61.53%,10,860%,85.40%,2015,,,http://www.amazon.com/gp/product/B011KK9J7S/?tag=titb-20
