title ,worldwide gross (m),% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label,horror
King Kong,557,269%,2.7,207,218,39.2%,339,60.8%,"556,906,378",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=391,"https://en.wikipedia.org/wiki/King_Kong_(2005_film)#:~:text=Filming%20for%20King%20Kong%20took,%2Drecord%2Dbreaking%20%24207%20million.",,not horror
Kingsman: The Golden Circle,411,395%,4.0,104,100,24.4%,311,75.6%,"410,902,662",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=515,"https://en.wikipedia.org/wiki/Kingsman:_The_Golden_Circle#:~:text=Kingsman%3A%20The%20Golden%20Circle%20grossed,production%20budget%20of%20%24104%20million.",,not horror
Kingsman: The Secret Service,414,441%,4.4,94,128,31.0%,286,69.0%,"414,351,546",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=510,https://en.wikipedia.org/wiki/Kingsman:_The_Secret_Service,,not horror
Knives Out,313,782%,7.8,40,165,52.8%,148,47.2%,"312,897,920",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=691,https://en.wikipedia.org/wiki/Knives_Out,,not horror
Kong: Skull Island,567,306%,3.1,185,168,29.7%,399,70.3%,"566,652,812",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=388,"https://en.wikipedia.org/wiki/Kong:_Skull_Island#:~:text=With%20a%20production%20budget%20of,million%20worldwide%20to%20break%2Deven.",,not horror
Kung Fu Panda,632,486%,4.9,130,216,34.1%,416,65.9%,"632,083,197",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=357,https://en.wikipedia.org/wiki/Kung_Fu_Panda_(film),,not horror
Kung Fu Panda 2,666,444%,4.4,150,165,24.8%,500,75.2%,"665,692,281",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=346,https://www.google.com/search?q=kung+fu+panda+2+budget&oq=kung+fu+panda+2+budget&aqs=chrome..69i57j0i22i30l2j0i390l3.5275j1j4&sourceid=chrome&ie=UTF-8,,not horror
Kung Fu Panda 3,521,359%,3.6,145,144,27.5%,378,72.5%,"521,170,825",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=420,https://en.wikipedia.org/wiki/Kung_Fu_Panda_3,,not horror
La La Land,471,1571%,15.7,30,151,32.1%,320,67.9%,"471,226,899",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=452,"https://en.wikipedia.org/wiki/La_La_Land#:~:text=The%20film%20was%20a%20commercial,%2C%20cinematography%2C%20and%20production%20design.",,not horror
Les Misérables,442,725%,7.3,61,149,33.6%,293,66.4%,"442,299,309",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=481,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(2012_film),,not horror
Lethal Weapon 3,322,919%,9.2,35,145,45.0%,177,55.0%,"321,731,527",1992,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=675,https://en.wikipedia.org/wiki/Lethal_Weapon_3,,not horror
Life of Pi,609,508%,5.1,120,125,20.5%,484,79.5%,"609,016,565",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=372,https://en.wikipedia.org/wiki/Life_of_Pi_(film),,not horror
Lights Out,149,3036%,30.4,4.9,67.3,45.2%,81.5,54.8%,"148,768,835",2016,2010's,,,,horror
Lion,149,1242%,12.4,12.0,7.2,4.8%,141.6,95.0%,"148,768,835",2016,2010's,,,,not horror
Little Fockers,311,311%,3.1,100,148,47.8%,162,52.2%,"310,650,585",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=697,https://en.wikipedia.org/wiki/Little_Fockers,,not horror
Live Free or Die Hard,388,353%,3.5,110,135,34.7%,254,65.3%,"388,156,011",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=544,https://en.wikipedia.org/wiki/Live_Free_or_Die_Hard,,not horror
Logan,619,516%,5.2,120,226,36.5%,393,63.5%,"619,179,950",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=367,https://en.wikipedia.org/wiki/Logan_(film),,not horror
LOTR: The Fellowship of the Ring,898,966%,9.7,93,316,35.2%,582,64.8%,"898,182,036",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=268,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings_(film_series),,not horror
LOTR: The Return of the King,1146,1220%,12.2,94,378,33.0%,768,67.0%,"1,146,436,214",2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=225,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,,not horror
LOTR: Two Towers,948,1008%,10.1,94,343,36.2%,605,63.8%,"947,939,315",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=259,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Two_Towers,,not horror
