title ,worldwide gross (m),% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label,horror
Paranormal Activity 3,207,4140%,41.4,5.0,104.0,50.3%,52.6,25.4%,"156,600,000",2011,2010's,,,,horror
Paranormal Activity 4,142,2857%,28.6,5.0,53.9,38.0%,88.9,62.6%,"142,838,957",2012,2010's,,,,horror
Paranormal Activity: The Marked Ones,91,1818%,18.2,5.0,32.5,35.7%,58.4,64.3%,"90,904,854",2014,2010's,,,,horror
Parasite,117.3,1066%,10.7,11.0,18.3,15.6%,99.0,84.4%,"117,305,012",2019,2010's,,,,not horror
Pearl Harbor,449,321%,3.2,140,199,44.2%,251,55.8%,"449,220,945",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=475,https://en.wikipedia.org/wiki/Pearl_Harbor_(film),,not horror
Penguins of Madagascar,374,283%,2.8,132,84,22.4%,290,77.6%,"373,515,621",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=569,https://en.wikipedia.org/wiki/Penguins_of_Madagascar,,not horror
Peter Rabbit,351,703%,7.0,50,115,32.8%,236,67.2%,"351,496,066",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=621,"https://en.wikipedia.org/wiki/Peter_Rabbit_(film)#:~:text=Peter%20Rabbit%20was%20released%20in,on%20a%20%2450%20million%20budget.",,not horror
Pirates of the Caribbean: At World's End,961,320%,3.2,300,309,32.2%,652,67.8%,"960,996,492",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=256,https://www.google.com/search?q=pirate+caribbean+worlds+end+budget&ei=DJ-MY7izG86P8gKKzpJQ&ved=0ahUKEwi46Y6vh-D7AhXOh1wKHQqnBAoQ4dUDCA8&uact=5&oq=pirate+caribbean+worlds+end+budget&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIHCCEQoAEQCjIICCEQFhAeEB06CggAEEcQ1gQQsAM6BggAEBYQHjoICAAQFhAeEAo6BQgAEIYDSgQIQRgASgQIRhgAUPcBWJwHYKUJaAFwAXgAgAFziAHcBJIBAzYuMZgBAKABAcgBCMABAQ&sclient=gws-wiz-serp,,not horror
Pirates of the Caribbean: Dead Man's Chest,1066,474%,4.7,225,423,39.7%,643,60.3%,"1,066,179,747",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=237,https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_Dead_Man%27s_Chest,,not horror
Pirates of the Caribbean: Dead Men Tell No Tales,795,346%,3.5,230,173,21.7%,622,78.3%,"794,881,442",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=296,"https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_Dead_Men_Tell_No_Tales#:~:text=Dead%20Men%20Tell%20No%20Tales%20premiered%20in%20Shanghai%20on%20May,production%20budget%20between%20%24230%20million.",,not horror
Pirates of the Caribbean: On Stranger Tides,1046,276%,2.8,379,241,23.0%,805,77.0%,"1,045,713,802",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=241,https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_On_Stranger_Tides,,not horror
Pirates of the Caribbean: The Curse of the Black Pearl,654,467%,4.7,140,305,46.7%,349,53.3%,"654,264,015",2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=351,https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl,,not horror
Planet of the Apes,362,362%,3.6,100,180,49.7%,182,50.3%,"362,211,740",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=592,https://en.wikipedia.org/wiki/Planet_of_the_Apes_(2001_film),,not horror
Pocahontas,346,629%,6.3,55,142,40.9%,205,59.1%,"346,079,773",1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=633,https://en.wikipedia.org/wiki/Pocahontas_(1995_film),,not horror
Pokémon Detective Pikachu,433,289%,2.9,150,144,33.3%,289,66.7%,"433,230,304",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=489,https://en.wikipedia.org/wiki/Detective_Pikachu_(film),,not horror
Pretty Woman,463,3310%,33.1,14,178,38.5%,285,61.5%,"463,406,268",1990,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=462,https://en.wikipedia.org/wiki/Pretty_Woman,,not horror
Prince Caspian,420,187%,1.9,225,142,33.8%,278,66.2%,"419,665,568",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=503,https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_Prince_Caspian,,not horror
Prince of Persia: The Sands of Time,336,182%,1.8,185,91,27.0%,246,73.0%,"336,365,676",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=644,"https://en.wikipedia.org/wiki/Prince_of_Persia:_The_Sands_of_Time_(film)#:~:text=It%20grossed%20over%20%24336.4%20million,surpassed%20by%20Warcraft%20in%202016.",,not horror
Prometheus,403,310%,3.1,130,126,31.4%,277,68.6%,"403,354,469",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=526,https://en.wikipedia.org/wiki/Prometheus_(2012_film),,horror
Puss in Boots,555,427%,4.3,130,149,26.9%,406,73.1%,"554,987,477",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=392,"https://edition.cnn.com/2011/10/31/showbiz/movies/puss-in-boots-box-office-ew/index.html#:~:text=%E2%80%9CPuss%20in%20Boots%E2%80%9D%20cost%20%24130,million%20and%20%2417.2%20million%2C%20respectively.",,not horror
Quantum of Solace,590,268%,2.7,220,168,28.6%,421,71.4%,"589,580,482",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=377,https://en.wikipedia.org/wiki/Quantum_of_Solace,,not horror
Raiders of the Lost Ark,390,1950%,19.5,20,248,63.6%,142,36.4%,"389,925,971",1981,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=541,https://en.wikipedia.org/wiki/Raiders_of_the_Lost_Ark,,not horror
Rain Man,355,1419%,14.2,25,173,48.7%,182,51.3%,"354,825,435",1988,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=608,https://en.wikipedia.org/wiki/Rain_Man,,not horror
Ralph Breaks the Internet,529,302%,3.0,175,201,38.0%,328,62.0%,"529,323,962",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=411,"https://en.wikipedia.org/wiki/Ralph_Breaks_the_Internet#:~:text=Ralph%20Breaks%20the%20Internet%20grossed,production%20budget%20of%20%24175%20million.",,not horror
Rampage,428,357%,3.6,120,101,23.6%,327,76.4%,"428,028,233",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=494,,,not horror
Ransom,309,442%,4.4,70,136,44.1%,173,55.9%,"309,492,681",1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=699,https://en.wikipedia.org/wiki/Ransom_(1996_film),,not horror
Ratatouille,624,416%,4.2,150,206,33.1%,417,66.9%,"623,726,085",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=364,https://en.wikipedia.org/wiki/Ratatouille_(film),,not horror
Ready Player One,583,333%,3.3,175,138,23.6%,445,76.4%,"582,918,849",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=383,https://en.wikipedia.org/wiki/Ready_Player_One_(film),,not horror
Resident Evil: The Final Chapter,312,781%,7.8,40,27,8.6%,285,91.4%,"312,242,626",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=693,"https://en.wikipedia.org/wiki/Resident_Evil:_The_Final_Chapter#:~:text=The%20film%20received%20mixed%20reviews,against%20a%20%2440%20million%20budget.",,horror
Return of the Jedi,475,1105%,11.0,43,309,65.1%,166,34.9%,"475,106,177",1983,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=447,https://en.wikipedia.org/wiki/Return_of_the_Jedi,YES,not horror
Revenge of the Sith,868,768%,7.7,113,380,43.8%,488,56.2%,"868,390,560",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=278,https://en.wikipedia.org/wiki/Star_Wars:_Episode_III_%E2%80%93_Revenge_of_the_Sith,,not horror
Rio,484,538%,5.4,90,144,29.7%,340,70.3%,"483,866,518",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=441,https://en.wikipedia.org/wiki/Rio_(2011_film),,not horror
Rio 2,499,384%,3.8,130,132,26.4%,367,73.6%,"498,781,117",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=427,https://en.wikipedia.org/wiki/Rio_2,,not horror
Rise of the Planet of the Apes,482,518%,5.2,93,177,36.7%,305,63.3%,"481,800,873",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=443,https://en.wikipedia.org/wiki/Rise_of_the_Planet_of_the_Apes,,not horror
Robin Hood,322,162%,1.6,198,105,32.7%,216,67.3%,"321,669,741",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=676,https://bombreport.com/yearly-breakdowns/2010-2/robin-hood-2010/,,not horror
Robin Hood: Prince of Thieves,390,814%,8.1,48,165,42.4%,225,57.6%,"390,493,908",1991,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=540,https://www.imdb.com/title/tt0102798/,,not horror
Rogue One,1059,385%,3.8,275,534,50.4%,525,49.6%,"1,058,682,142",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=239,"https://collider.com/rogue-one-star-wars-story-imax-re-release-top-ten-all-time/#:~:text=Thanks%20to%20a%20budget%20that,essentially%20derailing%20the%20entire%20franchise.",,not horror
Rush Hour 2,347,386%,3.9,90,226,65.1%,121,34.9%,"347,325,802",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=630,https://en.wikipedia.org/wiki/Rush_Hour_2,,not horror
San Andreas,474,431%,4.3,110,155,32.7%,319,67.3%,"474,009,154",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=450,https://en.wikipedia.org/wiki/San_Andreas_(film),,not horror
Saving Private Ryan,482,689%,6.9,70,217,45.0%,265,55.0%,"482,349,603",1998,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=442,https://en.wikipedia.org/wiki/Saving_Private_Ryan,,not horror
Saw IV,139,1394%,13.9,10.0,63.3,45.4%,76.1,54.6%,"139,352,633",2007,2000's,,,,horror
Saw V,114,1054%,10.5,10.8,56.8,49.8%,57.1,50.2%,"113,870,000",2008,2000's,,,,horror
Schindler's List,322,1464%,14.6,22,97,30.1%,225,69.9%,"322,161,245",1993,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=671,https://en.wikipedia.org/wiki/Schindler%27s_List,,not horror
Se7en,327,1091%,10.9,30,100,30.6%,227,69.4%,"327,333,559",1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=665,"https://en.wikipedia.org/wiki/Seven_(1995_film)#:~:text=Seven%20was%20budgeted%20at%20%2430,expensive%20film%20at%20that%20point.",,not horror
Searching,75,7538%,75.4,1.0,26.0,34.5%,49.4,65.5%,"75,383,741",2018,2010's,,,,not horror
Semi-Pro,44,1688%,16.9,2.6,33.5,76.3%,10.4,23.7%,"43,890,000",2008,2000's,,,,not horror
Sex and the City,419,644%,6.4,65,153,36.4%,266,63.6%,"418,765,519",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=504,"https://en.wikipedia.org/wiki/Sex_and_the_City_(film)#:~:text=Despite%20mixed%20reviews%20from%20critics,from%20a%20%2465%20million%20budget.",,not horror
Shang-Chi,432,288%,2.9,150,225,52.0%,208,48.0%,"432,243,292",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=490,https://screenrant.com/shang-chi-movie-budget-cost-mcu-comparison/,,not horror
Shark Tale,375,499%,5.0,75,161,42.9%,214,57.1%,"374,583,879",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=565,"https://en.wikipedia.org/wiki/Shark_Tale#:~:text=Shark%20Tale%20premiered%20at%20the,highest%2Dgrossing%20film%20of%202004.",,not horror
Shazam!,366,366%,3.7,100,140,38.4%,226,61.6%,"366,080,049",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=584,https://en.wikipedia.org/wiki/Shazam!_(film),,not horror
Sherlock Holmes,524,582%,5.8,90,209,39.9%,315,60.1%,"524,028,679",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=417,https://www.imdb.com/title/tt0988045/,,not horror
Sherlock Holmes: A Game of Shadows,544,435%,4.4,125,187,34.4%,357,65.6%,"543,848,418",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=401,https://en.wikipedia.org/wiki/Sherlock_Holmes:_A_Game_of_Shadows,,not horror
Shrek,488,814%,8.1,60,268,54.9%,220,45.1%,"488,351,320",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=436,"https://www.nytimes.com/2021/05/18/movies/shrek-20th-anniversary.html#:~:text=1%20at%20the%20domestic%20box,Pixar's%20%E2%80%9CMonsters%2C%20Inc.%E2%80%9D",,not horror
Shrek 2,929,619%,6.2,150,441,47.5%,488,52.5%,"928,760,770",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=264,https://en.wikipedia.org/wiki/Shrek_2,,not horror
Shrek Forever After,753,456%,4.6,165,239,31.7%,514,68.3%,"752,600,867",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=316,https://en.wikipedia.org/wiki/Shrek_Forever_After,,not horror
Shrek the Third,813,508%,5.1,160,323,39.7%,491,60.3%,"813,367,380",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=292,"https://en.wikipedia.org/wiki/Shrek_the_Third#:~:text=The%20film%20received%20mixed%20reviews,highest%2Dgrossing%20film%20of%202007.",,not horror
Signs,408,567%,5.7,72,228,55.8%,180,44.2%,"408,247,917",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=519,https://en.wikipedia.org/wiki/Signs_(2002_film),,horror
Silver Linings Playbook,236,1126%,11.3,21.0,132.1,55.9%,104.3,44.1%,"236,412,453",2012,2010's,,,,not horror
Sing,634,846%,8.5,75,271,42.7%,364,57.3%,"634,338,384",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=356,"https://en.wikipedia.org/wiki/Sing_(2016_American_film)#:~:text=Reception-,Box%20office,production%20budget%20of%20%2475%20million.",,not horror
Sing 2,407,479%,4.8,85,163,40.0%,245,60.0%,"407,452,213",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=521,"https://en.wikipedia.org/wiki/Sing_2#:~:text=The%20film%20has%20grossed%20over,highest%2Dgrossing%20film%20of%202021.",,not horror
Sinister,78,2590%,25.9,3.0,48.1,61.9%,29.6,38.1%,"77,712,439",2012,2010's,,,,horror
Skyfall,1109,554%,5.5,200,304,27.5%,804,72.5%,"1,108,569,499",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=230,"https://en.wikipedia.org/wiki/Skyfall#:~:text=The%20film's%20budget%20is%20estimated,and%20the%20Bond%20film%20series.",,not horror
Sleight,4,1572%,15.7,0.250,3.9,100.0%,0.0,0.0%,"3,930,990",2017,2010's,,,,not horror
Slumdog Millionaire,378,2523%,25.2,15,141,37.4%,237,62.6%,"378,410,542",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=560,https://en.wikipedia.org/wiki/Slumdog_Millionaire,,not horror
Snow White and the Huntsman,397,233%,2.3,170,155,39.2%,241,60.8%,"396,592,829",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=535,https://en.wikipedia.org/wiki/Snow_White_and_the_Huntsman,,not horror
Solo: A Star Wars Story,393,131%,1.3,300,214,54.4%,179,45.6%,"392,924,807",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=538,https://en.wikipedia.org/wiki/Solo:_A_Star_Wars_Story,,not horror
Sonic the Hedgehog,320,355%,3.6,90,149,46.6%,171,53.4%,"319,715,683",2020,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=681,https://en.wikipedia.org/wiki/Sonic_the_Hedgehog_(film),,not horror
Sonic the Hedgehog 2,403,366%,3.7,110,191,47.4%,212,52.6%,"402,656,846",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=527,https://en.wikipedia.org/wiki/Sonic_the_Hedgehog_2_(film),,not horror
Spectre,881,294%,2.9,300,200,22.7%,681,77.3%,"880,705,312",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=273,"https://en.wikipedia.org/wiki/Spectre_(2015_film)#:~:text=Following%20the%20Sony%20Pictures%20hack,most%20expensive%20films%20ever%20made.",,not horror
Speed,350,947%,9.5,37,121,34.6%,229,65.4%,"350,448,145",1994,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=622,https://en.wikipedia.org/wiki/Speed_(1994_film),,not horror
Spider-Man,825,594%,5.9,139,407,49.3%,418,50.7%,"825,025,036",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=287,https://en.wikipedia.org/wiki/Spider-Man_(2002_film),,not horror
Spider-Man 2,789,394%,3.9,200,374,47.4%,415,52.6%,"788,976,453",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=301,https://en.wikipedia.org/wiki/Spider-Man_2,,not horror
Spider-Man 3,895,358%,3.6,250,337,37.6%,558,62.4%,"894,983,373",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=270,https://en.wikipedia.org/wiki/Spider-Man_3,,not horror
Spider-Man: Far from Home,1132,707%,7.1,160,391,34.5%,741,65.5%,"1,131,927,996",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=226,https://en.wikipedia.org/wiki/Spider-Man:_Far_From_Home,,not horror
Spider-Man: Homecoming,880,503%,5.0,175,334,38.0%,546,62.0%,"880,166,924",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=274,https://www.google.com/search?q=spider+man+homecoming+budget&ei=ufaNY4fKH-ybhbIP3Z6T6AY&ved=0ahUKEwjHiuGPz-L7AhXsTUEAHV3PBG0Q4dUDCA8&uact=5&oq=spider+man+homecoming+budget&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIKCAAQgAQQRhD7ATIFCAAQgAQyBQgAEIAEMgUIABCABDIGCAAQFhAeMggIABAWEB4QDzIFCAAQhgMyBQgAEIYDMgUIABCGAzoKCAAQRxDWBBCwAzoHCAAQsAMQQzoNCAAQ5AIQ1gQQsAMYAToPCC4Q1AIQyAMQsAMQQxgCOgwILhDIAxCwAxBDGAI6BwguEEMQ6gQ6CggAELEDEIMBEEM6BAgAEEM6EgguEEMQ6gQQ3AQQ3gQQ4AQYAzoFCC4QgARKBAhBGABKBAhGGAFQxgJY2gdg4wloAXABeACAAXGIAa0EkgEDNi4xmAEAoAEByAESwAEB2gEGCAEQARgJ2gEGCAIQARgI2gEGCAMQARgU&sclient=gws-wiz-serp,,not horror
Spider-Man: Into the Spider-Verse,384,427%,4.3,90,190,49.5%,194,50.5%,"384,256,930",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=551,https://en.wikipedia.org/wiki/Spider-Man:_Into_the_Spider-Verse,,not horror
Spider-Man: No Way Home,1971,986%,9.9,200,814,41.3%,"1,157",58.7%,"1,971,439,845",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=205,https://en.wikipedia.org/wiki/Spider-Man:_No_Way_Home,,not horror
Spirited Away,356,1872%,18.7,19,14,3.9%,342,96.1%,"355,725,195",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=606,https://en.wikipedia.org/wiki/Spirited_Away,,not horror
Split,278,3092%,30.9,9.0,138.1,49.6%,140.2,50.4%,"278,304,578",2017,2010's,,,,horror
Star Trek,386,257%,2.6,150,258,66.8%,128,33.2%,"385,680,446",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=548,"https://en.wikipedia.org/wiki/Star_Trek_(film)#:~:text=It%20was%20released%20in%20the,its%20%24150%20million%20production%20budget.",,not horror
Star Trek Beyond,343,186%,1.9,185,159,46.2%,185,53.8%,"343,471,816",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=635,https://en.wikipedia.org/wiki/Star_Trek_Beyond,,not horror
Star Trek Into Darkness,467,246%,2.5,190,229,49.0%,239,51.0%,"467,365,246",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=459,https://en.wikipedia.org/wiki/Star_Trek_Into_Darkness,,not horror
Star Wars,775,7049%,70.5,11,461,59.4%,314,40.6%,"775,398,007",1977,1970's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=305,"https://www.statista.com/statistics/311356/star-wars-production-costs-box-office-revenue/#:~:text=Released%20in%201977%2C%20%22A%20New,around%20775%20million%20U.S.%20dollars.",YES,not horror
Suicide Squad,747,404%,4.0,185,325,43.5%,422,56.5%,"746,846,894",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=318,"https://en.wikipedia.org/wiki/Suicide_Squad_(film)#:~:text=Suicide%20Squad%20was%20a%20box,including%20advertising%20and%20promotion%20costs).",,not horror
Superman Returns,391,175%,1.8,223,200,51.2%,191,48.8%,"391,081,192",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=539,https://en.wikipedia.org/wiki/Superman_Returns,,not horror
Taken 2,376,836%,8.4,45,140,37.2%,236,62.8%,"376,152,455",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=563,"https://en.wikipedia.org/wiki/Taken_2#:~:text=Taken%202%20grossed%20%24139.9%20million,a%20budget%20of%20%2445%20million.",,not horror
Taken 3,326,680%,6.8,48,89,27.3%,237,72.7%,"326,479,141",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=667,"https://en.wikipedia.org/wiki/Taken_3#:~:text=of%20skills%22).-,Box%20office,a%20budget%20of%20%2455%20million.",,not horror
Tangled,592,228%,2.3,260,201,33.9%,392,66.1%,"592,462,816",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=376,"https://mint.intuit.com/blog/trends/the-top-ten-most-expensive-movies-ever-made-0313/#:~:text=Tangled%2C%20which%20was%20a%20retelling,animation%20and%20flashy%20computer%20animation.",,not horror
Tarzan,448,345%,3.4,130,171,38.2%,277,61.8%,"448,191,819",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=476,https://simple.wikipedia.org/wiki/Tarzan_(1999_movie),,not horror
Ted,549,845%,8.5,65,219,39.8%,331,60.2%,"549,368,315",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=396,https://en.wikipedia.org/wiki/Ted_(film),,not horror
Teenage Mutant Ninja Turtles,485,323%,3.2,150,191,39.4%,294,60.6%,"485,004,754",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=439,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles_(1990_film),,not horror
Tenet,365,183%,1.8,200,59,16.0%,307,84.0%,"365,294,355",2020,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=587,"https://en.wikipedia.org/wiki/Tenet_(film)#:~:text=It%20was%20the%20first%20Hollywood,also%20a%20box%20office%20disappointment.",,not horror
Terminator 2,521,521%,5.2,100,206,39.5%,315,60.5%,"520,881,154",1991,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=421,https://en.wikipedia.org/wiki/Terminator_2:_Judgment_Day,,not horror
Terminator 3,433,232%,2.3,187,150,34.7%,283,65.3%,"433,371,112",2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=488,https://en.wikipedia.org/wiki/Terminator_3:_Rise_of_the_Machines,,not horror
Terminator Genisys,441,284%,2.8,155,90,20.4%,351,79.6%,"440,603,537",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=484,https://en.wikipedia.org/wiki/Terminator_Genisys,,not horror
Terminator Salvation,371,186%,1.9,200,125,33.8%,246,66.2%,"371,353,001",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=574,"https://en.wikipedia.org/wiki/Terminator_Salvation#:~:text=With%20an%20estimated%20%24200%20million,budget%20%24185%2D%24196%20million).",,not horror
The Adventures of Tintin,374,277%,2.8,135,78,20.8%,296,79.2%,"373,993,951",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=567,https://en.wikipedia.org/wiki/The_Adventures_of_Tintin_(film),,not horror
The Amazing Spider-Man,758,330%,3.3,230,262,34.6%,496,65.4%,"757,930,663",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=314,https://en.wikipedia.org/wiki/The_Amazing_Spider-Man_(film),,not horror
The Amazing Spider-Man 2,709,242%,2.4,293,203,28.6%,506,71.4%,"708,982,323",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=332,https://en.wikipedia.org/wiki/The_Amazing_Spider-Man_2,,not horror
The Angry Birds Movie,352,483%,4.8,73,108,30.5%,245,69.5%,"352,333,929",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=615,https://en.wikipedia.org/wiki/The_Angry_Birds_Movie,,not horror
The Avengers,1519,690%,6.9,220,623,41.0%,895,59.0%,"1,518,815,515",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=208,https://en.wikipedia.org/wiki/The_Avengers_(2012_film),,not horror
